VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1747157756521	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756758660700.png
Drone1	1747157756584	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756821176400.png
Drone1	1747157756644	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756879746100.png
Drone1	1747157756701	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756939567400.png
Drone1	1747157756764	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756999503200.png
Drone1	1747157756821	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757058212800.png
Drone1	1747157756881	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757117564500.png
Drone1	1747157756941	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757177783400.png
Drone1	1747157757013	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757238497800.png
Drone1	1747157757061	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757297243100.png
Drone1	1747157757124	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757361173300.png
Drone1	1747157757187	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757423625300.png
Drone1	1747157757250	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757487567700.png
Drone1	1747157757310	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757548861500.png
Drone1	1747157757373	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757611564700.png
Drone1	1747157757436	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757673405900.png
Drone1	1747157757505	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757732335700.png
Drone1	1747157757556	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757792935300.png
Drone1	1747157757613	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757851951700.png
Drone1	1747157757676	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757912437800.png
Drone1	1747157757736	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157757971849400.png
Drone1	1747157757796	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157758032400000.png
Drone1	1747157757856	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157758092838600.png
